episode,timestep,return,length,epsilon,loss,mean_q
143,62513,-155.0,155,0.05,0.03575374186038971,-38.558204650878906
144,62681,-168.0,168,0.05,0.08286696672439575,-39.39054870605469
145,62802,-121.0,121,0.05,0.016219843178987503,-37.85404968261719
146,62965,-163.0,163,0.05,0.014953218400478363,-38.22223663330078
147,63135,-170.0,170,0.05,0.06876683980226517,-39.464073181152344
148,63295,-160.0,160,0.05,0.04012016952037811,-38.398719787597656
149,63473,-178.0,178,0.05,0.1839972734451294,-37.848960876464844
150,63683,-210.0,210,0.05,0.02244279906153679,-39.725013732910156
151,63862,-179.0,179,0.05,0.0671495795249939,-40.80218505859375
152,63960,-98.0,98,0.05,0.0579318106174469,-38.59943771362305
153,64089,-129.0,129,0.05,0.08688898384571075,-37.22216033935547
154,64266,-177.0,177,0.05,0.01741952635347843,-40.471805572509766
155,64386,-120.0,120,0.05,0.09980064630508423,-37.536888122558594
156,64507,-121.0,121,0.05,0.036132264882326126,-38.77706527709961
157,64656,-149.0,149,0.05,0.0660320296883583,-41.00810241699219
158,64769,-113.0,113,0.05,0.03213139623403549,-38.40477752685547
159,64931,-162.0,162,0.05,0.07012111693620682,-40.501251220703125
160,65094,-163.0,163,0.05,0.014716141857206821,-40.61711883544922
161,65357,-263.0,263,0.05,0.06671935319900513,-37.66509246826172
162,65539,-182.0,182,0.05,0.06791473180055618,-39.81361389160156
163,65701,-162.0,162,0.05,0.009901320561766624,-41.699737548828125
164,65867,-166.0,166,0.05,0.03650887310504913,-38.753875732421875
165,66033,-166.0,166,0.05,0.04676620289683342,-39.250694274902344
166,66195,-162.0,162,0.05,0.2098504602909088,-39.443138122558594
167,66398,-203.0,203,0.05,0.12169772386550903,-39.6059455871582
168,66556,-158.0,158,0.05,0.0305587500333786,-40.26209259033203
169,66720,-164.0,164,0.05,0.07616481184959412,-41.24800109863281
170,66912,-192.0,192,0.05,0.020122401416301727,-41.43293762207031
171,67083,-171.0,171,0.05,0.09778010845184326,-40.58213806152344
172,67239,-156.0,156,0.05,0.05483280122280121,-40.40020751953125
173,67403,-164.0,164,0.05,0.019311178475618362,-41.70923614501953
174,67564,-161.0,161,0.05,0.16051137447357178,-37.546749114990234
175,67785,-221.0,221,0.05,0.07335279136896133,-38.4286003112793
176,67949,-164.0,164,0.05,0.023572256788611412,-38.024925231933594
177,68066,-117.0,117,0.05,0.15047675371170044,-40.04118728637695
178,68189,-123.0,123,0.05,0.06389479339122772,-39.75361251831055
179,68351,-162.0,162,0.05,0.04780574142932892,-40.937400817871094
180,68501,-150.0,150,0.05,0.030579857528209686,-41.52159118652344
181,68633,-132.0,132,0.05,0.16198714077472687,-39.717041015625
182,68800,-167.0,167,0.05,0.02922382950782776,-41.517120361328125
183,69026,-226.0,226,0.05,0.09177552163600922,-39.43164825439453
184,69231,-205.0,205,0.05,0.09191729128360748,-39.820037841796875
185,69336,-105.0,105,0.05,0.1064506322145462,-39.83989715576172
186,69463,-127.0,127,0.05,0.043244779109954834,-41.02020263671875
187,69626,-163.0,163,0.05,0.0376325324177742,-40.412078857421875
188,69796,-170.0,170,0.05,0.04718339443206787,-41.622032165527344
189,69948,-152.0,152,0.05,0.02701505459845066,-42.239768981933594
190,70123,-175.0,175,0.05,0.026535648852586746,-41.98478698730469
191,70276,-153.0,153,0.05,0.02610590308904648,-41.7122802734375
192,70432,-156.0,156,0.05,0.06585613638162613,-40.361778259277344
193,70569,-137.0,137,0.05,0.04861551150679588,-40.827701568603516
194,70887,-318.0,318,0.05,0.115560382604599,-39.03282928466797
195,71043,-156.0,156,0.05,0.1180560439825058,-42.313323974609375
196,71221,-178.0,178,0.05,0.031209900975227356,-41.89501953125
197,71437,-216.0,216,0.05,0.044685110449790955,-41.605072021484375
198,71696,-259.0,259,0.05,0.052301160991191864,-42.811241149902344
199,71907,-211.0,211,0.05,0.03329751640558243,-42.7747802734375
200,72320,-413.0,413,0.05,0.08943250775337219,-36.881317138671875
201,72480,-160.0,160,0.05,0.07833213359117508,-42.49749755859375
202,72638,-158.0,158,0.05,0.043934836983680725,-41.030067443847656
203,72792,-154.0,154,0.05,0.046328071504831314,-40.80889892578125
204,72948,-156.0,156,0.05,0.04385609179735184,-41.84578323364258
205,73163,-215.0,215,0.05,0.08460883051156998,-42.320438385009766
206,73317,-154.0,154,0.05,0.20029020309448242,-41.996803283691406
207,73483,-166.0,166,0.05,0.06335341185331345,-44.61241912841797
208,73738,-255.0,255,0.05,0.06200766563415527,-41.996917724609375
209,74010,-272.0,272,0.05,0.17169202864170074,-43.637840270996094
210,74223,-213.0,213,0.05,0.07766957581043243,-41.214210510253906
211,74388,-165.0,165,0.05,0.06900995969772339,-40.24266815185547
212,74975,-587.0,587,0.05,0.04552146792411804,-40.99480056762695
213,75420,-445.0,445,0.05,0.1523432731628418,-41.64484405517578
214,75586,-166.0,166,0.05,0.02107740193605423,-42.18514633178711
215,75791,-205.0,205,0.05,0.028792181983590126,-43.602333068847656
216,75976,-185.0,185,0.05,0.03606968745589256,-42.08306884765625
217,77016,-1040.0,1040,0.05,0.1000625416636467,-43.00082778930664
218,77529,-513.0,513,0.05,0.025694068521261215,-41.95742416381836
219,77840,-311.0,311,0.05,0.06559605896472931,-42.9406623840332
220,78890,-1050.0,1050,0.05,0.06830456852912903,-43.75172424316406
221,79506,-616.0,616,0.05,0.06726039946079254,-43.59080505371094
222,80399,-893.0,893,0.05,0.0431688129901886,-43.128517150878906
223,80822,-423.0,423,0.05,0.11246951669454575,-42.951934814453125
224,81410,-588.0,588,0.05,0.04826882481575012,-47.21456527709961
225,81642,-232.0,232,0.05,0.21018075942993164,-44.56303787231445
226,82001,-359.0,359,0.05,0.24001151323318481,-47.45310974121094
227,82217,-216.0,216,0.05,0.043435171246528625,-46.949119567871094
228,82415,-198.0,198,0.05,0.1464095115661621,-44.11164093017578
229,83464,-1049.0,1049,0.05,0.07004480808973312,-43.58106231689453
230,84469,-1005.0,1005,0.05,0.04543685540556908,-46.37675857543945
231,84931,-462.0,462,0.05,0.10422307997941971,-47.4300537109375
232,85102,-171.0,171,0.05,0.08343903720378876,-45.91871643066406
233,85734,-632.0,632,0.05,0.15787075459957123,-47.991878509521484
234,85906,-172.0,172,0.05,0.12622672319412231,-47.72706604003906
